config_hash,git_commit,source_hash,prior_id,data_hash,smoke,solver,axis,level,seed,image_id,sigma_true,sigma_assumed,mask_disagreement,mask_density,psnr,ssim,lpips,residual_assumed,residual_true,residual_gap,artifact
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,mask,0.25,0,0,0.03,0.03,0.25,0.25,21.6342205313,0.586842017313,0.355481922626,0.062655210495,0.0626552179456,7.45058059692e-09,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-mask-0.25-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,mask,0.25,0,0,0.03,0.03,0.25,0.25,21.7687521811,0.563797266878,0.257120043039,0.0642072185874,0.0638283267617,-0.000378891825676,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-mask-0.25-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,mask,0.25,0,0,0.03,0.03,0.25,0.25,2.33611747124,-0.00725462121594,0.527212738991,0.873187124729,0.870147645473,-0.00303947925568,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-mask-0.25-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,mask,0.25,0,0,0.03,0.03,0.25,0.25,7.11480522127,0.0481408692712,0.594256639481,0.060306109488,0.295046836138,0.23474072665,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-mask-0.25-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,mask,0.25,0,0,0.03,0.03,0.25,0.25,7.67043458489,0.0528041087992,0.587587833405,0.0901711136103,0.282358080149,0.192186966538,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-mask-0.25-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,noise,-1,0,0,0.03,0.0110363832351,0,0.25,22.6588457485,0.656826713866,0.224726319313,0.0395699590445,0.0395699590445,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-noise--1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,noise,-1,0,0,0.03,0.0110363832351,0,0.25,23.1382201625,0.650396083325,0.135672137141,0.0408819019794,0.0408819019794,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-noise--1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,noise,-1,0,0,0.03,0.0110363832351,0,0.25,2.33604757711,-0.00724050155615,0.527222752571,0.870035111904,0.870035111904,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-noise--1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,noise,-1,0,0,0.03,0.0110363832351,0,0.25,7.24904308321,0.0599357907388,0.575534462929,0.018954096362,0.018954096362,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-noise--1.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,noise,-1,0,0,0.03,0.0110363832351,0,0.25,7.87649023022,0.0664165334459,0.572192549706,0.0505196005106,0.0505196005106,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-noise--1.0-0-0.pt
